ACCOUNT_NAME
Abbott
Adam Laxalt
Advancing American Freedom
Amanda Adkins
American Cornerstone Institute
Andrew Garbarino
Andrew Koenig
Andy Barr
August Pfluger
Barrasso
Bice
BILL PAC
Black Bear PAC
Blackburn TVF
Blaine Luetkemeyer
Bob Latta
Brady Duke
Brandon Williams
Bruce Poliquin
Carolina Serrano
Cassidy
Cassy Garcia
CAVPAC
Citizens for a Greater Georgia
Claudia Tenney
CLF
Cotton
David McCormick
David Yost
Davis
Defense of Freedom PAC
Denny Hoskins
Derrick Anderson
Diana Harshbarger
Drew Johnson
Eddie Garcia
"Eigel, Bill (MO-Gov)"
Eli Crane
Elise for Congress
Ellzey
Ernst
Frank LaRose
GAF
George Logan for Congress
Georgia Values Fund
Gonzales
Great America Committee
Greater Georgia
Guy Reschenthaler
Hagerty
Hinson
Honor Pennsylvania
Jake Ellzey
Jake Evans
Jake LaTurner
Jay Collins
Jeanine Lawson
Jen Kiggans
Jennifer Dorow
Jennifer-Ruth Green
Jerry Carl
John James
John Rose
John Teichert
Karrin Taylor Robsin
Ken Calvert
Kendall Qualls
Kevin Hayslett
Kevin McCarthy
Keystone Renewal PAC
Kim Reynolds
Lisa Scheller
Madison Gesiotto Gilbert
Majority Maker Fund
Marco Rubio
Mark Brnovich
Mark Robinson
Markwayne Mullin
Maryott
Matt Mowers
Mayra Flores
McConnell
McSwain for Governor
Michael Burgess
Mike Pence
Monica De La Cruz
Morgan Luttrell
Morgan Ortagus
Morrisey 2024
Murkowski
NRCC
NVAF
Nancy Mace
Nick De Gregorio
Nikki Haley
OMF
OMFA
PA Rising
PADA
RGA
RSLC
Raptor PAC
Republican Jewish Coalition
Rokita
Ron Johnson
Ronny Jackson
Rudy Yakym
Ryan Zinke
SFA
SFA Fund
SRVF
Scalise
Scott Franklin
Tiffany Smiley
SFA PAC
Steel
Stitt
TIMPAC
Tanya Wheeless
Taylor Burks
Team Emmer
Team Morrisey
Team Scalise
SFA JFC
Thune
Tim Scott
Todd Young
Tom Barrett
Tom Emmer
Tom Royals
Van Drew
Van Orden
Wagner
Will Scharf
Young Kim
Zach Nunn
